,movieId,title,genres,imdbId,tmdbId,tag,metadata,year
0,1,Toy Story,Adventure Animation Children Comedy Fantasy,114709,862.0,pixar pixar fun,pixar pixar fun Adventure Animation Children Comedy Fantasy,1995
1,2,Jumanji,Adventure Children Fantasy,113497,8844.0,fantasy magic board game Robin Williams game,fantasy magic board game Robin Williams game Adventure Children Fantasy,1995
2,3,Grumpier Old Men,Comedy Romance,113228,15602.0,moldy old,moldy old Comedy Romance,1995
3,4,Waiting to Exhale,Comedy Drama Romance,114885,31357.0,, Comedy Drama Romance,1995
4,5,Father of the Bride Part II,Comedy,113041,11862.0,pregnancy remake,pregnancy remake Comedy,1995
5,6,Heat,Action Crime Thriller,113277,949.0,, Action Crime Thriller,1995
6,7,Sabrina,Comedy Romance,114319,11860.0,remake,remake Comedy Romance,1995
7,8,Tom and Huck,Adventure Children,112302,45325.0,, Adventure Children,1995
8,9,Sudden Death,Action,114576,9091.0,, Action,1995
9,10,GoldenEye,Action Adventure Thriller,113189,710.0,, Action Adventure Thriller,1995
10,11,"American President, The",Comedy Drama Romance,112346,9087.0,politics president,politics president Comedy Drama Romance,1995
11,12,Dracula: Dead and Loving It,Comedy Horror,112896,12110.0,, Comedy Horror,1995
12,13,Balto,Adventure Animation Children,112453,21032.0,, Adventure Animation Children,1995
13,14,Nixon,Drama,113987,10858.0,politics president,politics president Drama,1995
14,15,Cutthroat Island,Action Adventure Romance,112760,1408.0,, Action Adventure Romance,1995
15,16,Casino,Crime Drama,112641,524.0,Mafia,Mafia Crime Drama,1995
16,17,Sense and Sensibility,Drama Romance,114388,4584.0,Jane Austen,Jane Austen Drama Romance,1995
17,18,Four Rooms,Comedy,113101,5.0,, Comedy,1995
18,19,Ace Ventura: When Nature Calls,Comedy,112281,9273.0,, Comedy,1995
19,20,Money Train,Action Comedy Crime Drama Thriller,113845,11517.0,, Action Comedy Crime Drama Thriller,1995
20,21,Get Shorty,Comedy Crime Thriller,113161,8012.0,Hollywood,Hollywood Comedy Crime Thriller,1995
21,22,Copycat,Crime Drama Horror Mystery Thriller,112722,1710.0,serial killer,serial killer Crime Drama Horror Mystery Thriller,1995
22,23,Assassins,Action Crime Thriller,112401,9691.0,, Action Crime Thriller,1995
23,24,Powder,Drama Sci-Fi,114168,12665.0,, Drama Sci-Fi,1995
24,25,Leaving Las Vegas,Drama Romance,113627,451.0,alcoholism,alcoholism Drama Romance,1995
25,26,Othello,Drama,114057,16420.0,Shakespeare,Shakespeare Drama,1995
26,27,Now and Then,Children Drama,114011,9263.0,, Children Drama,1995
27,28,Persuasion,Drama Romance,114117,17015.0,In Netflix queue Jane Austen,In Netflix queue Jane Austen Drama Romance,1995
28,29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure Drama Fantasy Mystery Sci-Fi,112682,902.0,kidnapping,kidnapping Adventure Drama Fantasy Mystery Sci-Fi,1995
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime Drama,115012,37557.0,, Crime Drama,1995
30,31,Dangerous Minds,Drama,112792,9909.0,high school teacher,high school teacher Drama,1995
31,32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery Sci-Fi Thriller,114746,63.0,time travel time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake time travel twist ending,time travel time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake time travel twist ending Mystery Sci-Fi Thriller,1995
32,34,Babe,Children Drama,112431,9598.0,Animal movie pigs villain nonexistent or not needed for good story,Animal movie pigs villain nonexistent or not needed for good story Children Drama,1995
33,36,Dead Man Walking,Crime Drama,112818,687.0,death penalty Nun,death penalty Nun Crime Drama,1995
34,38,It Takes Two,Children Comedy,113442,33689.0,twins,twins Children Comedy,1995
35,39,Clueless,Comedy Romance,112697,9603.0,chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen,chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen Comedy Romance,1995
36,41,Richard III,Drama War,114279,31174.0,Shakespeare,Shakespeare Drama War,1995
37,42,Dead Presidents,Action Crime Drama,112819,11443.0,, Action Crime Drama,1995
38,43,Restoration,Drama,114272,35196.0,England,England Drama,1995
39,44,Mortal Kombat,Action Adventure Fantasy,113855,9312.0,, Action Adventure Fantasy,1995
40,45,To Die For,Comedy Drama Thriller,114681,577.0,Journalism,Journalism Comedy Drama Thriller,1995
41,46,How to Make an American Quilt,Drama Romance,113347,11861.0,wedding,wedding Drama Romance,1995
42,47,Seven (a.k.a. Se7en),Mystery Thriller,114369,807.0,mystery twist ending serial killer,mystery twist ending serial killer Mystery Thriller,1995
43,48,Pocahontas,Animation Children Drama Musical Romance,114148,10530.0,, Animation Children Drama Musical Romance,1995
44,49,When Night Is Falling,Drama Romance,114916,8391.0,, Drama Romance,1995
45,50,"Usual Suspects, The",Crime Mystery Thriller,114814,629.0,mindfuck suspense thriller tricky twist ending heist,mindfuck suspense thriller tricky twist ending heist Crime Mystery Thriller,1995
46,52,Mighty Aphrodite,Comedy Drama Romance,113819,11448.0,adoption prostitution,adoption prostitution Comedy Drama Romance,1995
